BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,BankDomain,LogoUrl
418244,VISA,DEBIT,SIGNATURE,INTERNATIONAL SMART CARD COMPANY,,,IQ,IRQ,IRAQ,qicard.net,https://commons.wikimedia.org/wiki/File:Qi_card_logo.svg
418346,VISA,CREDIT,PLATINUM,AL RAJHI BANKING AND INVESTMENT CORP.,4433 92 000 + 966 OR 33 334 601 +966,http://www.alrajhibank.com.sa,SA,SAU,SAUDI ARABIA,alrajhibank.com.sa,https://commons.wikimedia.org/wiki/File:Al_Rajhi_Bank_Logo.svg
418347,VISA,CREDIT,PLATINUM,AL RAJHI BANKING AND INVESTMENT CORP.,4433 92 000 + 966 OR 33 334 601 +966,http://www.alrajhibank.com.sa,SA,SAU,SAUDI ARABIA,alrajhibank.com.sa,https://commons.wikimedia.org/wiki/File:Al_Rajhi_Bank_Logo.svg
418348,VISA,CREDIT,PLATINUM,HSBC BANK MIDDLE EAST,+97142241000,http://www.hsbc.ae,AE,ARE,UNITED ARAB EMIRATES,hsbc.com,https://commons.wikimedia.org/wiki/File:HSBC_logo_(2018).svg
418349,VISA,CREDIT,PLATINUM,HSBC BANK MIDDLE EAST,+974 4441 6663 A851+A851,http://www.hsbc.ae,QA,QAT,QATAR,hsbc.com,https://commons.wikimedia.org/wiki/File:HSBC_logo_(2018).svg
418356,VISA,CREDIT,PURCHASING,MASHREQBANK,+97143632250,http://www.mashreqbank.com,AE,ARE,UNITED ARAB EMIRATES,mashreqbank.com,https://commons.wikimedia.org/wiki/File:Mashreq_bank_logo.svg
418634,VISA,CREDIT,INFINITE,BANK AL ETIHAD,,,JO,JOR,JORDAN,bankaletihad.com,https://commons.wikimedia.org/wiki/File:Bank_al_Etihad_logo.svg
418638,VISA,CREDIT,INFINITE,BANK AL ETIHAD,,,JO,JOR,JORDAN,bankaletihad.com,https://commons.wikimedia.org/wiki/File:Bank_al_Etihad_logo.svg
418644,VISA,CREDIT,INFINITE,BANK AL ETIHAD,,,JO,JOR,JORDAN,bankaletihad.com,https://commons.wikimedia.org/wiki/File:Bank_al_Etihad_logo.svg
418728,VISA,CREDIT,BUSINESS,ARAB FINANCIAL SERVICES COMPANY,,,BH,BHR,BAHRAIN,afs.com.bh,https://img.logo.dev/afs.com.bh?format=png&size=400
